week,HHI
2021-01-07,0.4081514547148654
2021-01-14,0.4346576150553276
2021-01-21,0.4372766243447478
2021-01-28,0.38734549704905297
2021-02-04,0.38057035769704356
2021-02-11,0.4441660995542142
2021-02-18,0.4102767407448331
2021-02-25,0.37124641849090734
2021-03-04,0.35166427567636044
2021-03-11,0.34862573249053236
2021-03-18,0.39429126544361137
2021-03-25,0.3584131797476539
2021-04-01,0.33684609642806657
2021-04-08,0.31942866892883726
2021-04-15,0.3229149003756787
2021-04-22,0.31857005273907474
2021-04-29,0.30401978788808715
2021-05-06,0.31871399439553755
2021-05-13,0.3446183535073948
2021-05-20,0.36899143983506155
2021-05-27,0.41291606458551156
2021-06-03,0.38441475119128826
2021-06-10,0.4345863427706866
2021-06-17,0.3827928492833186
2021-06-24,0.44816772720634596
2021-07-01,0.41412419613629464
2021-07-08,0.41028372770339994
2021-07-15,0.42162519181179675
2021-07-22,0.39877858618902545
2021-07-29,0.40301196561181857
2021-08-05,0.36901639161311356
2021-08-12,0.3981561299669411
2021-08-19,0.3767570967349432
2021-08-26,0.332830683923257
2021-09-02,0.3303832006992331
2021-09-09,0.3182390756408288
2021-09-16,0.32403225351085185
2021-09-23,0.3421811633592368
2021-09-30,0.3355926335112204
2021-10-07,0.2875619982959003
2021-10-14,0.29404764572266306
2021-10-21,0.2711176481700302
2021-10-28,0.2676871542569113
2021-11-04,0.34042759893918084
2021-11-11,0.3212265389884979
2021-11-18,0.31308989556449296
2021-11-25,0.3286885093980985
2021-12-02,0.31980143922180476
2021-12-09,0.3082857997465816
2021-12-16,0.28773508539965503
2021-12-23,0.28789370440090367
2021-12-30,0.2655366269981272
2022-01-06,0.26675465294842055
2022-01-13,0.24314742953377136
2022-01-20,0.24637738217815636
2022-01-27,0.2577489599909879
2022-02-03,0.24070672283814162
2022-02-10,0.23630445012856777
2022-02-17,0.23055228254235835
2022-02-24,0.27143637377331414
2022-03-03,0.265221235397352
2022-03-10,0.2528532804998551
2022-03-17,0.29938596750482566
2022-03-24,0.29785036883165567
2022-03-31,0.2669607263938834
2022-04-07,0.2808167075965574
2022-04-14,0.28087543402032256
2022-04-21,0.27638270647491003
2022-04-28,0.2680680969344266
2022-05-05,0.28510752663403316
2022-05-12,0.2854044324820901
2022-05-19,0.27177478714932773
2022-05-26,0.26780840952974305
2022-06-02,0.3375312854783288
2022-06-09,0.34110296490142816
2022-06-16,0.4041804737839264
2022-06-23,0.35973508012720734
2022-06-30,0.3742913383921206
2022-07-07,0.36524760637867526
2022-07-14,0.34168005932954176
2022-07-21,0.3346864343092943
2022-07-28,0.3296753928914277
2022-08-04,0.35152742262075787
2022-08-11,0.3559815276311158
2022-08-18,0.28107993706196993
2022-08-25,0.34703037332666514
2022-09-01,0.3910306204215719
2022-09-08,0.4110760126996824
2022-09-15,0.3599308450324066
2022-09-22,0.3005269493687459
2022-09-29,0.2871724229972351
2022-10-06,0.24952821978439252
2022-10-13,0.2982522763609719
2022-10-20,0.30303470901986895
2022-10-27,0.3396485781983894
2022-11-03,0.3393390614034677
2022-11-10,0.39153539400399934
2022-11-17,0.4060175621534648
2022-11-24,0.45462212811823877
2022-12-01,0.4371331724574506
2022-12-08,0.40318837499153204
2022-12-15,0.4014335403755289
2022-12-22,0.37993328239268737
2022-12-29,0.37199905858546634
2023-01-05,0.4162318548210839
2023-01-12,0.3855385064122556
2023-01-19,0.3779278243363949
2023-01-26,0.3519076721694535
2023-02-02,0.38982093869516127
2023-02-09,0.35776650370725704
2023-02-16,0.40686576444235434
2023-02-23,0.35949071834534274
2023-03-02,0.3752621826694672
2023-03-09,0.4279565356478095
2023-03-16,0.3357355426438745
2023-03-23,0.3301162977472743
2023-03-30,0.33921772962559027
2023-04-06,0.32328775490769185
2023-04-13,0.31234041081914315
2023-04-20,0.3762055996566878
2023-04-27,0.39397625580102286
2023-05-04,0.4347557746877479
2023-05-11,0.47325241220065384
2023-05-18,0.47099589851477136
2023-05-25,0.3947562921740139
2023-06-01,0.36090022957813817
2023-06-08,0.36367317124235143
2023-06-15,0.36475711510402065
2023-06-22,0.37221979580082043
2023-06-29,0.33111346862743474
2023-07-06,0.31460066332081627
2023-07-13,0.3557679962983136
2023-07-20,0.3230715276017547
2023-07-27,0.3259834660772048
2023-08-03,0.2656088507159642
2023-08-10,0.31808822255941077
2023-08-17,0.25673972757488084
2023-08-24,0.3185916034850246
2023-08-31,0.33309229451583494
2023-09-07,0.3252191100588278
2023-09-14,0.29440589412939944
2023-09-21,0.26567934713120483
2023-09-28,0.2843796290570073
2023-10-05,0.291017698959566
2023-10-12,0.3021081500628491
2023-10-19,0.25010035840643163
2023-10-26,0.26607562498907
2023-11-02,0.29948275044263856
2023-11-09,0.3687161971626697
2023-11-16,0.3990937693703624
2023-11-23,0.39973894381013175
2023-11-30,0.3363009135083348
2023-12-07,0.33668589688742406
2023-12-14,0.3356286770992984
2023-12-21,0.3318095941698489
2023-12-28,0.3569909338837674
2024-01-04,0.3820430066745637
2024-01-11,0.3974328576845009
2024-01-18,0.3899973721633322
2024-01-25,0.42198541948861784
2024-02-01,0.4049248638511301
2024-02-08,0.3906996566128874
2024-02-15,0.3647477698351437
2024-02-22,0.3820385949066294
2024-02-29,0.38617389500538796
2024-03-07,0.39680776085984265
2024-03-14,0.43050386305376315
2024-03-21,0.4026740281353689
2024-03-28,0.4141037081437537
2024-04-04,0.3768427823544117
2024-04-11,0.38245353391909365
2024-04-18,0.3765286237468134
2024-04-25,0.3886152060048514
2024-05-02,0.38710483371410553
2024-05-09,0.36151467308901236
2024-05-16,0.3448851305415556
2024-05-23,0.3331936962984204
2024-05-30,0.29556811445245884
2024-06-06,0.29629709124826287
2024-06-13,0.3127985426230031
2024-06-20,0.30734798442008043
2024-06-27,0.33414522755513215
2024-07-04,0.316765988776721
2024-07-11,0.3016476829033543
2024-07-18,0.2911906825579235
2024-07-25,0.2865941426571021
2024-08-01,0.2369392215056579
2024-08-08,0.2262951047780786
2024-08-15,0.1971823115783839
2024-08-22,0.2660007270760523
2024-08-29,0.2554696647767112
2024-09-05,0.27574520556635373
2024-09-12,0.2440870457349135
2024-09-19,0.24000349306832156
2024-09-26,0.23309407581673094
2024-10-03,0.22962258823358758
2024-10-10,0.23160888424989565
2024-10-17,0.23261717717357183
2024-10-24,0.2650155002205979
2024-10-31,0.2620977777457183
2024-11-07,0.28582355469386145
2024-11-14,0.28861690590487393
2024-11-21,0.3153453746844123
2024-11-28,0.29238826268127155
2024-12-05,0.2999351815482246
2024-12-12,0.31198617624499886
2024-12-19,0.3160128822051515
2024-12-26,0.3045586146216363
2025-01-02,0.2936767793578645
2025-01-09,0.30822199989914195
