week,HHI
2021-01-07,0.27002659371825116
2021-01-14,0.2658348217332489
2021-01-21,0.2832413790976521
2021-01-28,0.27127232615311
2021-02-04,0.26915851663485957
2021-02-11,0.35019069024518956
2021-02-18,0.30813646385393706
2021-02-25,0.244129488969327
2021-03-04,0.3067778472513376
2021-03-11,0.30324495313426764
2021-03-18,0.22489598111145948
2021-03-25,0.32997157071818356
2021-04-01,0.2637835375035301
2021-04-08,0.2390488381511715
2021-04-15,0.20534159354452228
2021-04-22,0.1979393170699302
2021-04-29,0.19282192960906877
2021-05-06,0.18503748650771148
2021-05-13,0.1809890124270837
2021-05-20,0.1970709202768631
2021-05-27,0.19635409285499467
2021-06-03,0.16197310074244414
2021-06-10,0.21333078893853927
2021-06-17,0.20037205098197883
2021-06-24,0.16564032848234705
2021-07-01,0.1548731570493936
2021-07-08,0.14508885788909945
2021-07-15,0.16334063703629795
2021-07-22,0.1662489836925361
2021-07-29,0.20926712660265628
2021-08-05,0.19909599893853494
2021-08-12,0.18273032700750666
2021-08-19,0.1592969947664653
2021-08-26,0.1750861867447666
2021-09-02,0.16900625008347261
2021-09-09,0.17661548308954125
2021-09-16,0.18813249684675798
2021-09-23,0.22228622010957072
2021-09-30,0.21006492196695814
2021-10-07,0.2088392493301148
2021-10-14,0.2299923293453742
2021-10-21,0.19406772010387016
2021-10-28,0.19520547687349826
2021-11-04,0.24113374758608272
2021-11-11,0.27798735787521484
2021-11-18,0.29918533818408016
2021-11-25,0.25821493064626266
2021-12-02,0.2978605907229507
2021-12-09,0.21758349950725955
2021-12-16,0.2150752327205181
2021-12-23,0.23687147876934753
2021-12-30,0.2505468776806315
2022-01-06,0.24643246928553617
2022-01-13,0.2671702754465689
2022-01-20,0.28417410893041967
2022-01-27,0.286938420964176
2022-02-03,0.2752347510251303
2022-02-10,0.22033277778810936
2022-02-17,0.22172141047364152
2022-02-24,0.17458849910601648
2022-03-03,0.19136131766301073
2022-03-10,0.1730338438968591
2022-03-17,0.20817587703668594
2022-03-24,0.21874696107906255
2022-03-31,0.27007311458777966
2022-04-07,0.2464268621422555
2022-04-14,0.24827134823846222
2022-04-21,0.24364262582683427
2022-04-28,0.24212817448637966
2022-05-05,0.25863220184182534
2022-05-12,0.2258374379373638
2022-05-19,0.19136839482060278
2022-05-26,0.1669662862525128
2022-06-02,0.20295853030878708
2022-06-09,0.20772938784701142
2022-06-16,0.19077949781177017
