rank,song,artists,views,video_id,weeks_on_chart
89,Mafia,"D Hell, Nickox, Young Jeric",3014328,6cCVuQJUxCI,1
90,Ishq Bawla,"Dhanda Nyoliwala, Xvir Grewal",2968689,s0bJkT5EyTc,3
91,Haan Tu Hain,Kay Kay,2961911,V1fbOsHBlZE,7
92,Deware Chhinar Kaile Ba,Amit Patel,2942004,nqmRpOMfsyc,8
93,Dhun,"Arijit Singh, Mithoon",2934667,cUmUOb7j3dc,1
94,O Rangrez,"Shreya Ghoshal, Javed Bashir",2922225,jmpUP1MaQ9Q,17
95,Ek Din Teri Raahon Mein,Javed Ali,2905843,vQchZx9MvJ8,6
96,Udaarian,Satinder Sartaaj,2876758,9udS0mpi1L4,1
97,Woh Lamhe Woh Baatein,"Roop Kumar Rathod, Mithoon, Naresh Sharma, Atif Aslam",2875078,y12BRDS1CHI,4
98,Pal Pal Dil Ke Paas,Kishore Kumar,2863756,AMuRRXCuy-4,1
99,Kya Karthe The Saajna,"Anuradha Paudwal, Mohammed Aziz",2843507,_jQaes9v0G8,2
100,Main Agar Kahoon,"Vishal - Shekhar, Sonu Nigam, Shreya Ghoshal",2796734,DAYszemgPxc,19
